Station ID,Functional Class,Latitude,Longitude,Year,AADT,Statistics type,Single-Unit Truck AADT,Combo-Unit Truck AADT,% Peak SU Trucks,% Peak CU Trucks,K-Factor,D-Factor,Future AADT,Station Type
"207-8025",7U : Urban Local,32.926700,-83.802300,2024,140,Estimated,15,3,23.529,0,0.1238,0.65,340,Short Term
"207-8026",7R : Rural Local,32.910878,-83.923965,2024,190,Estimated,23,5,,,0.1322,0.87,260,Short Term
"207-8028",6R : Rural Minor Collector,32.959122,-83.915793,2024,450,Estimated,42,8,6.78,0,0.1355,0.75,920,Short Term
"207-8029",6R : Rural Minor Collector,32.973177,-83.892928,2024,590,Actual,39,17,,,0.149,0.66,1010,Short Term
"207-8030",7R : Rural Local,32.982423,-83.932129,2024,20,Estimated,2,0,,,0.1765,0.67,40,Short Term
"207-8032",7R : Rural Local,32.865217,-83.930009,2024,50,Estimated,4,12,0,0,0.1557,0.75,80,Short Term
"207-8033",7R : Rural Local,32.891404,-84.056308,2024,40,Estimated,2,0,28.571,0,0.1772,0.71,50,Short Term
"207-8034",7R : Rural Local,33.010695,-84.019065,2024,40,Estimated,8,2,0,0,0.1595,0.67,50,Short Term
"207-8037",7R : Rural Local,33.092430,-83.979296,2024,50,Estimated,6,1,28.571,14.286,0.1515,0.71,60,Short Term
"207-8039",7R : Rural Local,33.138100,-84.031138,2024,180,Estimated,40,5,,,0.1223,0.75,320,Short Term
"207-8040",7R : Rural Local,33.119419,-84.003005,2024,40,Actual,6,0,20,0,0.122,0.6,60,Short Term
"207-8042",7R : Rural Local,33.165225,-83.929088,2024,130,Estimated,6,0,,,0.1239,0.53,160,Short Term
"207-8043",7R : Rural Local,33.150500,-83.879462,2024,200,Estimated,19,4,12.5,0,0.1246,0.58,250,Short Term
"207-8044",7R : Rural Local,33.066246,-83.888068,2024,330,Estimated,42,1,7.143,0,0.0878,0.57,420,Short Term
"207-8045",6R : Rural Minor Collector,33.098411,-83.964598,2024,830,Actual,54,10,5.528,2.01,0.2389,0.8,1240,Short Term
"207-8047",7R : Rural Local,33.010986,-83.854354,2024,520,Actual,35,8,6.897,1.724,0.1122,0.71,660,Short Term
"207-8048",7U : Urban Local,32.927152,-83.807941,2024,880,Estimated,87,26,7.059,0,0.0975,0.55,1450,Short Term
"207-8049",6R : Rural Minor Collector,33.152107,-83.898489,2024,210,Estimated,22,2,,,0.1092,0.52,270,Short Term
"207-8050",7R : Rural Local,32.968840,-83.809991,2024,730,Actual,58,11,8,1,0.1366,0.61,920,Short Term
"207-8051",7R : Rural Local,32.922192,-83.944410,2024,150,Actual,11,3,16.667,10,0.2027,0.6,190,Short Term
"207-9408",1U : Urban Principal Arterial - Interstate,32.951620,-83.812300,2024,28600,Actual,704,6140,0.504,4.469,0.1041,1,39600,CCS
"207-9507",1U : Urban Principal Arterial - Interstate,32.956480,-83.812680,2024,29500,Actual,700,6992,0.769,9.158,0.1014,1,49100,CCS
"207-r001",1R : Rural Principal Arterial - Interstate,32.940803,-83.777939,2024,1050,Estimated,,,,,0.1308,1,1320,Short Term
"207-r005",1R : Rural Principal Arterial - Interstate,32.989747,-83.841425,2024,1480,Estimated,,,,,0.1022,1,2030,Short Term
"207-r006",1R : Rural Principal Arterial - Interstate,32.992353,-83.845245,2024,800,Estimated,,,,,0.0962,1,1120,Short Term
"207-r009",1R : Rural Principal Arterial - Interstate,33.027196,-83.907279,2024,3640,Estimated,,,,,0.1051,1,6790,Short Term
"207-r010",1R : Rural Principal Arterial - Interstate,33.029151,-83.910386,2024,2890,Estimated,,,,,0.0783,1,5720,Short Term
"207-r011",1R : Rural Principal Arterial - Interstate,33.033181,-83.917810,2024,1660,Estimated,,,,,0.0981,1,2090,Short Term
"207-r012",1R : Rural Principal Arterial - Interstate,33.036583,-83.923813,2024,780,Estimated,,,,,0.0824,1,980,Short Term
"207-r013",1R : Rural Principal Arterial - Interstate,33.042409,-83.936191,2024,2280,Estimated,,,,,0.0862,1,3100,Short Term
"207-r014",1R : Rural Principal Arterial - Interstate,33.043832,-83.938938,2024,2020,Estimated,,,,,0.0796,1,3550,Short Term
"207-r015",1R : Rural Principal Arterial - Interstate,33.055453,-83.951282,2024,1550,Estimated,,,,,0.11,1,1950,Short Term
"207-r016",1R : Rural Principal Arterial - Interstate,33.055691,-83.951453,2024,910,Estimated,,,,,0.1223,1,1210,Short Term
"207-r021",1R : Rural Principal Arterial - Interstate,33.110846,-84.002018,2024,1160,Estimated,,,,,0.0985,1,2320,Short Term
"207-r022",1R : Rural Principal Arterial - Interstate,33.114222,-84.002259,2024,1050,Estimated,,,,,0.1247,1,2150,Short Term
"207-r027",1R : Rural Principal Arterial - Interstate,33.164956,-84.038617,2024,1150,Estimated,,,,,0.1071,1,1950,Short Term
